Symbol,Security,GICS Sector,valid_yahoo_ticker,resolved_name,resolved_exchange,resolved_score,SourceIndex,Sektor
INGA,ING GROEP NV,Financials,HII,"Huntington Ingalls Industries, ",NYQ,20048.0,SP500,
CMG,CHIPOTLE MEXICAN GRILL INC,Consumer Discretionary,CMG,"Chipotle Mexican Grill, Inc.",NYQ,2009900.0,SP500,
NOC,NORTHROP GRUMMAN CORP,Industrials,NOC,Northrop Grumman Corporation,NYQ,2010100.0,SP500,
PYPL,PAYPAL HOLDINGS INC,Financials,PYPL,"PayPal Holdings, Inc.",NMS,2025700.0,SP500,
MSTR,MICROSTRATEGY INC CLASS A,Information Technology,MSTR,MicroStrategy Incorporated,NMS,2050700.0,NASDAQ100,
8035,TOKYO ELECTRON LTD,Information Technology,8035.HK,JANCO HOLDINGS,HKG,20002.0,,
BDX,BECTON DICKINSON,Health Care,BDX,"Becton, Dickinson and Company",NYQ,2005300.0,SP500,
BA.,BAE SYSTEMS PLC,Industrials,BIYA,Baiya International Group Inc.,NCM,100001.0,,
8411,MIZUHO FINANCIAL GROUP INC,Financials,8411.HK,K W NELSON GP,HKG,20002.0,,
DASH,DOORDASH INC CLASS A,Consumer Discretionary,DASH,"DoorDash, Inc.",NMS,2004200.0,SP500,
USB,US BANCORP,Financials,USB,U.S. Bancorp,NYQ,2009800.0,SP500,
WBC,WESTPAC BANKING CORPORATION CORP,Financials,WBC.AX,WESTPAC FPO [WBC],ASX,20006.0,,
APD,AIR PRODUCTS AND CHEMICALS INC,Materials,APD,"Air Products and Chemicals, Inc",NYQ,2005700.0,SP500,
NAB,NATIONAL AUSTRALIA BANK LTD,Financials,NBR,Nabors Industries Ltd.,NYQ,20013.0,,
RHM,RHEINMETALL AG,Industrials,RHM.DE,RHEINMETALL AG                I,GER,20025.0,DAX,
2454,MEDIATEK INC,Information Technology,2454.TW,MEDIATEK INC,TAI,20005.0,,
ECL,ECOLAB INC,Materials,ECL,Ecolab Inc.,NYQ,2003600.0,SP500,
CNQ,CANADIAN NATURAL RESOURCES LTD,Energy,CNQ,Canadian Natural Resources Limi,NYQ,2002800.0,,
APP,APPLOVIN CORP CLASS A,Information Technology,APP,Applovin Corporation,NMS,2008300.0,SP500,
2317,HON HAI PRECISION INDUSTRY LTD,Information Technology,2317.HK,VEDAN INT'L,HKG,20002.0,,
D05,DBS GROUP HOLDINGS LTD,Financials,D05.SI,DBS,SES,20021.0,,
EMR,EMERSON ELECTRIC,Industrials,EMR,Emerson Electric Company,NYQ,2007000.0,SP500,
HCA,HCA HEALTHCARE INC,Health Care,HCA,"HCA Healthcare, Inc.",NYQ,2004500.0,SP500,
ROP,ROPER TECHNOLOGIES INC,Information Technology,ROP,"Roper Technologies, Inc.",NMS,2003100.0,SP500,
FTNT,FORTINET INC,Information Technology,FTNT,"Fortinet, Inc.",NMS,2004700.0,SP500,
COF,CAPITAL ONE FINANCIAL CORP,Financials,KC=F,Coffee May 25,NYB,3001900.0,,
AZO,AUTOZONE INC,Consumer Discretionary,AZO,"AutoZone, Inc.",NYQ,2004300.0,SP500,
MRVL,MARVELL TECHNOLOGY INC,Information Technology,MRVL,"Marvell Technology, Inc.",NMS,2014400.0,NASDAQ100,
HLT,HILTON WORLDWIDE HOLDINGS INC,Consumer Discretionary,HLT,Hilton Worldwide Holdings Inc.,NYQ,2002700.0,SP500,
INFY,INFOSYS LTD,Information Technology,INFY,Infosys Limited,NYQ,2001400.0,,
7011,MITSUBISHI HEAVY INDUSTRIES LTD,Industrials,7011.T,MITSUBISHI HEAVY INDUSTRIES,JPX,20005.0,,
BK,BANK OF NEW YORK MELLON CORP,Financials,BK,The Bank of New York Mellon Cor,NYQ,2004200.0,SP500,
GD,GENERAL DYNAMICS CORP,Industrials,GD,General Dynamics Corporation,NYQ,2006900.0,SP500,
MAR,MARRIOTT INTERNATIONAL INC CLASS A,Consumer Discretionary,MAR,Marriott International,NMS,2006500.0,SP500,
LLOY,LLOYDS BANKING GROUP PLC,Financials,LYG,Lloyds Banking Group Plc,NYQ,20023.0,,
TRV,TRAVELERS COMPANIES INC,Financials,TRV,"The Travelers Companies, Inc.",NYQ,2003900.0,SP500,
BNS,BANK OF NOVA SCOTIA,Financials,BNS,Bank Nova Scotia Halifax Pfd 3,NYQ,2001500.0,,
NG.,NATIONAL GRID PLC,Utilities,NGN=X,USD/NGN,CCY,30002.0,,
BARC,BARCLAYS PLC,Financials,BARC.L,BARCLAYS PLC ORD 25P,LSE,20019.0,FTSE100,
ENEL,ENEL,Utilities,CECO2.BA,CENTRAL COSTANERA SA,BUE,20006.0,,
DGE,DIAGEO PLC,Consumer Staples,DGE.L,DIAGEO PLC ORD 28 101/108P,LSE,20005.0,MSCI World,
AFL,AFLAC INC,Financials,AFL,AFLAC Incorporated,NYQ,2006800.0,SP500,
388,HONG KONG EXCHANGES AND CLEARING L,Financials,388050.KQ,G2Power,KOE,20005.0,,
9983,FAST RETAILING LTD,Consumer Discretionary,9983.T,FAST RETAILING CO LTD,JPX,20002.0,,
8058,MITSUBISHI CORP,Industrials,8058.T,MITSUBISHI CORP,JPX,20004.0,,
SLB,SCHLUMBERGER NV,Energy,SLB,Schlumberger N.V.,NYQ,2011000.0,SP500,
KMI,KINDER MORGAN INC,Energy,KMI,"Kinder Morgan, Inc.",NYQ,2009900.0,SP500,
CSX,CSX CORP,Industrials,CSX,CSX Corporation,NMS,2007000.0,SP500,
RACE,FERRARI NV,Consumer Discretionary,RACE,Ferrari N.V.,NYQ,2003200.0,,
CPG,COMPASS GROUP PLC,Consumer Discretionary,CPG.L,COMPASS GROUP PLC ORD 11 1/20P,LSE,20002.0,FTSE100,
OKE,ONEOK INC,Energy,OKE,"ONEOK, Inc.",NYQ,2007000.0,SP500,
